Name of Agency,Name of Contact,Contact Email,Contact URL,Special Instructions,Tags,Bio
Vermont Department of Labor,Dirk Anderson,Dirk.Anderson@vermont.gov,NA,"""To submit a new request for VDOL records, under the Public Records Law, please contact one of the designated VDOL Records Officers listed below. Formal request should be made in writing, and provide a detailed description of the type of record being requests.""","[unemployment, wages, jobs, employment, payment, labor]","""The Vermont Department of Labor’s mission is to promote Vermont’s economic strength by assisting employers with job creation, retention and recruitment; coordinating the education and training of our workforce for Vermont’s current and future job opportunities; ensuring that Vermont workers have well-paying jobs in safe work environments; administering economic support and reemployment assistance to workers who suffer a job loss or workplace injury; and providing labor market information and analysis to the enable effective planning and decision-making relating to economic, education, labor and employment policies and direction."""
Vermont Department of Public Safety,Heidi Storm,heidi.storm@vermont.gov,NA,NA,"[fire, police, crime, security, intelligence, safety, incident,]","The statutory purpose of the Department of Public Safety is to promote the detection and prevention of crime, to participate in searches for lost and missing persons, and to assist in cases of statewide or local disasters or emergencies."
Vermont Agency of Administration,Melissa Mazza-Paquette,melissa.mazza-paquette@vermont.gov,NA,NA,"[administration, human resources, risk management, workers compensation, libraries, human resources]",
Vermont Financial Service Division,Connie Churchill,Connie.Churchill@vermont.gov,NA,NA,"[financial services, finance, money]","The Department of Financial Regulation (DFR) is a state agency that protects consumers while ensuring industry partners operate in a responsible manner.

Consumers, identified as anyone from the public using the services of a financial institution, investment firm, or insurance company, can find information on our website to help secure their financial well-being.

Industry partners in the fields of banking, insurance, securities, and captive insurance can find information on our website about conducting businesses in Vermont."
Vermont Risk Management Division,Breanna Fuller,Breanna.Fuller@vermont.gov,NA,NA,[risk management],"The Office of Risk Management (ORM) provides the following services for the State: Manages liability claims filed against the State in conjunction with CorVel Corporation, develops and assesses premiums to fund the workers' compensation and liability self insurance funds,  manages all commercial insurance policies purchased by the State covering state operations, fulfills requests for certificates of insurance and requests to review or modify contracts, grants and leases concerning insurance limits and coverages."
"Vermont Agency of Agriculture, Food & Markets",Scott Waterman,Scott.Waterman@vermont.gov,NA,NA,"[agriculture, food, commodities, milk, cows, farm, farms, Cabot,]","The Vermont Agency of Agriculture, Food & Markets (VAAFM) facilitates, supports and encourages the growth and viability of agriculture in Vermont while protecting the working landscape, human health, animal health, plant health, consumers and the environment."
Vermont Air National Guard ,NA,NA,https://www.158fw.ang.af.mil/158FW_CONTACTS/,Special Instructions for Millitary and F-35 File Requests found on the page,"[jets, f35, f-35, national guard, army,]","The Vermont Air National Guard is the proud home of the 158th Fighter Wing. Federally recognized in August of 1946 with the 134th Fighter Squadron, the Green Mountain Boys began their first flying mission with the F-47 and historically became the first Air National Guard unit to base the F-35A Lightning II, the most advanced and capable weapon system in the U.S. Air Force, in September 2019.

With roots as a small militia led by Ethan Allen in 1775, this all-volunteer force continues their legacy by serving a dual mission: serving the communities of Vermont and supporting combatant commanders around the world. Most notably, the Vermont Air National Guard delivered critical support to the state with the ongoing COVID-19 pandemic, provided emergency response efforts during Tropical Storm Irene, and launched the famed F-16 fighting falcons in the skies over New York within hours after the 9/11 attacks.

As the 134th Fighter Squadron celebrates their 75th anniversary in 2021, the Green Mountain Boys welcome you to explore their website and learn more about their history, leadership, current news, as well as career opportunities within the Vermont Air National Guard.
"
Vermont Department of Health,NA,NA,https://www.healthvermont.gov/about-us/contact-us/public-records,Data and Records are requested at different locations ,"[sickness, hospitals, illness, covid-19, health, public health ]","Our many programs and initiatives help Vermonters live fuller, healthier lives from birth through old age.

We focus on prevention, one of the best investments that can be made in health. We promote healthy behaviors such as eating a healthy diet, having regular physical activity, and not smoking or abusing alcohol or other drugs.

We work to improve access to health services such as immunizations, mammograms, HIV/AIDS testing and care, and prenatal care. We investigate disease outbreaks and take action to control the spread of illness.

We license physicians and hospitals, emergency medical personnel and services, inspect food and lodging establishments, and enforce health regulations. We prepare for and respond to public health threats and emergencies.

We continually track and report on the health status of Vermonters, health risks and behaviors, and progress toward meeting Healthy Vermonters 2020 goals. We empower Vermonters with current, correct and credible information to stay safe and healthy.

And it is our calling in public health to focus on avoidable inequalities, especially for those people who have experienced socioeconomic disadvantage and social injustice."
Vermont Arts Council,NA,NA,https://www.vermontartscouncil.org/about-us/contact,No Explicit instructions for File Requests,"[arts, paintings, music, concerts,]","The Council is committed to building a Vermont where art, culture, and creativity are at the heart of our communities. Engagement with the arts transforms individual lives, connects people more deeply to each other, energizes the economy, and sustains the vibrant cultural landscape that makes Vermont a great place to live. Three priorities currently guide the Council’s grant-making and programs:"
Vermont Council on Disability,Hope Smith,Hope.Smith@Vermont.gov,https://dail.vermont.gov/resources/public-records-requests,NA,"[accessibility, disability, elder care, assistance,]","At least 60% of VTDDC’s members must be self-advocates or family caregivers. Other members represent agencies in state government or partner organizations in Vermont. The Council must have between 21 and 25 members.

VTDDC was created by the Developmental Disabilities Assistance and Bill of Rights Act. There is a Developmental Disabilities Council in every US state, territory, and jurisdiction – 56 in all! Councils use their federal funding to make positive, systemwide changes for people with developmental disabilities. VTDDC recieves its funding at the start of every federal fiscal year from U.S. Administration for Community Living.

Council members and staff follow a set of By-Laws and Policies to fulfil their duties, conduct meetings, and serve the Council's mission and Five-Year State Plan."
